Lowest energy data for each cycleCycle	Lowest_Energy_REU
1365 	 33.385 
1366 	 33.385 
1367 	 33.385 
1368 	 33.385 
1369 	 33.385 
1370 	 33.385 
1371 	 33.385 
1372 	 33.385 
1373 	 33.385 
1374 	 33.385 
1375 	 33.385 
1376 	 33.385 
1377 	 33.385 
1378 	 33.385 
1379 	 33.385 
1380 	 33.385 
1381 	 33.385 
1382 	 33.385 
1383 	 33.385 
1384 	 33.385 
1385 	 33.385 
1386 	 33.385 
1387 	 33.385 
1388 	 33.385 
1389 	 33.385 
1390 	 33.385 
1391 	 33.385 
1392 	 33.385 
1393 	 33.385 
1394 	 33.385 
1395 	 33.385 
1396 	 33.385 
1397 	 33.385 
1398 	 33.385 
1399 	 33.385 
1400 	 33.385 
1401 	 33.385 
1402 	 33.385 
1403 	 33.385 
1404 	 33.385 
1405 	 33.385 
1406 	 33.385 
1407 	 33.385 
1408 	 33.385 
1409 	 33.385 
1410 	 33.385 
1411 	 33.385 
1412 	 33.385 
1413 	 33.385 
1414 	 33.385 
1415 	 33.385 
1416 	 33.385 
1417 	 33.385 
1418 	 33.385 
1419 	 33.385 
1420 	 33.385 
1421 	 33.385 
1422 	 33.385 
1423 	 33.385 
1424 	 33.385 
1425 	 33.385 
1426 	 33.385 
1427 	 33.385 
1428 	 33.385 
1429 	 33.385 
1430 	 33.385 
1431 	 33.385 
1432 	 33.385 
1433 	 33.385 
1434 	 33.385 
1435 	 33.385 
1436 	 33.385 
1437 	 33.385 
1438 	 33.385 
1439 	 33.385 
1440 	 33.385 
1441 	 33.385 
1442 	 33.385 
1443 	 33.385 
1444 	 33.385 
1445 	 33.385 
1446 	 33.385 
1447 	 33.385 
1448 	 33.385 
1449 	 33.385 
1450 	 33.385 
1451 	 33.385 
1452 	 33.385 
1453 	 33.385 
1454 	 33.385 
1455 	 33.385 
1456 	 33.385 
1457 	 33.385 
1458 	 33.385 
1459 	 33.385 
1460 	 33.385 
1461 	 33.385 
1462 	 33.385 
1463 	 33.385 
1464 	 33.385 
1465 	 33.385 
1466 	 33.385 
1467 	 33.385 
1468 	 33.385 
1469 	 33.385 
1470 	 33.385 
1471 	 33.385 
1472 	 33.385 
1473 	 33.385 
1474 	 33.385 
1475 	 33.385 
1476 	 33.385 
1477 	 33.385 
1478 	 33.385 
1479 	 33.385 
1480 	 33.385 
